L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
52,260,0.4278281402651854,0.5,-0.2828947852352086,0.0,0.125,0.2311118412656791,extended_moore_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__399b9bce15,-0.0088241814642837,-0.0045001677544173,0.25,False,0.6126341529642795,0.002,0.006,ql,0.62,extended_moore_r2,40,80,0.9,0.4371633986262844,0.3,0,0.42,0.08,160,0.3810425195444658,0.4,20,0.8644044740508043,5.0746095894100026e-18,0.2,plastic,sensitivity,-0.016328136264716,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.1592315539273386,0,0,40,0.999969181459566,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4473158760232243,0.5,-0.0488000767489789,0.0,0.125,0.1651267738028122,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__d175ffb181,-0.0044154405409506,-0.0157008308916736,0.25,False,0.9148611949736264,0.002,0.006,ql,0.58,extended_hex_r2,40,80,0.9,0.1829416858055917,0.3,0,0.42,0.08,160,0.3953274690887,0.3,20,0.5571413613199908,2.784072565457953e-18,0.2,plastic,sensitivity,-0.0068162877413316,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0136486199733044,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4369469052610243,0.5,-0.3158828018762071,0.0,0.125,0.2796257814058446,honeycomb_nnn__ql__plastic__intr0__struct0__alpha_async__lesion__s1__2a0078e74e,-0.001863949346504,0.0070287095596206,0.25,False,0.4482171513122253,0.002,0.006,ql,0.68,honeycomb_nnn,40,80,0.9,0.532085956143325,0.3,0,0.42,0.08,160,0.3833328356289112,0.2,20,1.143312947451408,4.26285192370419e-18,0.2,plastic,sensitivity,-0.0059173477836616,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0651507836357831,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.0841623822696428,0.5,0.543577345441734,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__alpha_async__lesion__s2__504f33dfd6,0.3648134088475657,0.3612803771796259,0.25,False,0.1520115772653582,0.002,0.01,markov,0.68,square_vn,40,80,0.9,0.0758922799652111,0.3,0,0.42,0.08,160,0.0888613542451228,0.3,20,0.7990084078141261,8.561967771870333e-18,0.2,plastic,sensitivity,0.3314406580572028,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0819442056448017,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3064453667554274,0.5,0.0192683759672076,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__lesion__s2__32349d4711,0.0875083047629399,0.0791058440735975,0.25,False,0.3952035901465576,0.002,0.01,markov,0.62,square_moore,40,80,0.9,0.3552481520547397,0.3,0,0.42,0.08,160,0.2467206833939828,0.2,20,1.5545238170758866,3.598611204608e-18,0.2,plastic,sensitivity,0.0598242499885992,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0657868137832274,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3443622379653019,0.5,-0.0173246090211759,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__lesion__s1__94d001303b,0.0800187848732587,0.0594028965307726,0.25,False,0.4518998633211328,0.002,0.01,markov,0.68,hex_cells,40,80,0.9,0.3797257691272206,0.3,0,0.42,0.08,160,0.2755664762079225,0.4,20,1.537256309101733,3.0692242788141198e-18,0.2,plastic,sensitivity,0.0327334309910375,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0464439030330894,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.1173617654079184,0.5,0.5243986852808568,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__alpha_async__lesion__s1__1e0b61fac4,0.3623532011428365,0.2693404727883108,0.25,False,0.2160653846733088,0.002,0.01,markov,0.62,honeycomb,40,80,0.9,0.103342699839177,0.3,0,0.42,0.08,160,0.1126764137337203,0.3,20,1.0100207728396369,2.676079181515125e-18,0.2,plastic,sensitivity,0.3505876886250725,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.1413358824141641,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3789576410593205,0.5,-0.0167867133750596,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__52a385db0e,0.0291308504814501,0.0277984439645378,0.25,False,0.6434644637286585,0.002,0.01,markov,0.58,extended_moore_r2,40,80,0.9,0.3230265468849556,0.3,0,0.42,0.08,160,0.3015056604082649,0.2,20,1.105285941875364,4.1884981356727065e-18,0.2,plastic,sensitivity,-0.0064975760001687,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0730291575949719,0,0,40,0.9991062623274162,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4296021245880543,0.5,-0.2706300533486913,0.0,0.125,0.2150113202952988,extended_moore_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__82605531d8,0.0058799185438883,-0.0032129157557616,0.25,False,0.6829981391641726,0.002,0.01,ql,0.62,extended_moore_r2,40,80,0.9,0.3918359889291213,0.3,0,0.42,0.08,160,0.3778864412187243,0.4,20,0.8307692621127153,4.175120618102809e-18,0.2,plastic,sensitivity,0.0115993622447146,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.2035063013561758,0,0,40,0.998335798816568,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4421675521580219,0.5,-0.0407292280167841,0.0,0.125,0.1662232301106559,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__79c28dd01a,-0.0070947265222193,-0.0143808375826402,0.25,False,0.9132599100450404,0.002,0.01,ql,0.58,extended_hex_r2,40,80,0.9,0.1830793617381348,0.3,0,0.42,0.08,160,0.3946507644833722,0.3,20,0.5356448555714307,3.57484874753641e-18,0.2,plastic,sensitivity,-0.0131801722504477,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.021680706015982,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
