L_markov,T_markov,activity_late_markov,alpha_async,autocorr_late_markov,bias_mean_late_markov,block_fraction_markov,coherence_late_markov,config_id_markov,corr_A_late_markov,corr_B_late_markov,dephase_markov,diagonal_ablation,entropy_late_markov,eta_intrinsic_markov,eta_weight,formalism_markov,gamma,geometry,imprint_duration_markov,imprint_start_markov,imprint_strength_markov,interface_density_late_markov,intrinsic_bias_limit_markov,intrinsic_enabled,intrinsic_target_activity_markov,lesion_fraction_markov,lesion_time_markov,memory_mean_late_markov,memory_strength,metric_stride_markov,neighbor_pattern_entropy_late_markov,order_bias_markov,orientation_anisotropy_late_markov,p0_markov,plasticity,profile_markov,repair_reference_corr_markov,save_dense_markov,schedule,second_imprint_duration_markov,second_imprint_start_markov,second_lesion_time_markov,seed,sensitivity_point_markov,sequential_events_per_sweep_markov,sigma_birth,sigma_survive,snapshot_every_markov,spectral_peak_fraction_late_markov,structural_additions_total_markov,structural_enabled,structural_interval_markov,structural_link_fraction_late_markov,structural_min_degree_markov,structural_removals_total_markov,structural_rewire_probability_markov,structural_swap_tolerance_markov,structural_target_fraction_markov,structural_utility_tau_markov,task,tau_memory_markov,theta_input_markov,theta_memory_markov,theta_phase_markov,weight_decay_markov,weight_sum_markov,L_ql,T_ql,activity_late_ql,autocorr_late_ql,bias_mean_late_ql,block_fraction_ql,coherence_late_ql,config_id_ql,corr_A_late_ql,corr_B_late_ql,dephase_ql,entropy_late_ql,eta_intrinsic_ql,formalism_ql,imprint_duration_ql,imprint_start_ql,imprint_strength_ql,interface_density_late_ql,intrinsic_bias_limit_ql,intrinsic_target_activity_ql,lesion_fraction_ql,lesion_time_ql,memory_mean_late_ql,metric_stride_ql,neighbor_pattern_entropy_late_ql,order_bias_ql,orientation_anisotropy_late_ql,p0_ql,profile_ql,repair_reference_corr_ql,save_dense_ql,second_imprint_duration_ql,second_imprint_start_ql,second_lesion_time_ql,sensitivity_point_ql,sequential_events_per_sweep_ql,snapshot_every_ql,spectral_peak_fraction_late_ql,structural_additions_total_ql,structural_interval_ql,structural_link_fraction_late_ql,structural_min_degree_ql,structural_removals_total_ql,structural_rewire_probability_ql,structural_swap_tolerance_ql,structural_target_fraction_ql,structural_utility_tau_ql,tau_memory_ql,theta_input_ql,theta_memory_ql,theta_phase_ql,weight_decay_ql,weight_sum_ql,d_activity_late,d_entropy_late,d_repair_reference_corr,d_neighbor_pattern_entropy_late,divergence_score
72,500,0.4840665573817172,0.5,-0.0373518444847592,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__baseline__s4__07aacfde20,-0.0192801772627887,-0.0135601711218131,0.25,False,0.848078339020744,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2490884458787134,0.3,0,0.42,0.08,300,0.4496007497515654,0.2,20,0.8137838088921351,,2.8149327542792982e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0031113587852026,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4130464158763498,-0.0489929068835754,0.0,0.125,0.1300358072184795,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__baseline__s4__d197172c43,0.0066400608361884,-0.0003022270531191,0.25,0.82237790530035,0.002,ql,50,100,0.9,0.2502123722087624,0.3,0.42,0.08,300,0.4511960104140184,20,0.2701657004125917,,2.684560219278453e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0028363618559378,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0710201415053674,0.02570043372039399,0.0,0.5436181084795434,0.6403386837053048
72,500,0.4153307463046152,0.5,-0.0466108975322795,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__deb2de3fa3,-0.0024056280860223,-0.0030048843405365,0.25,False,0.8290792987878101,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2453258269767775,0.3,0,0.42,0.08,300,0.4506252202196731,0.2,20,0.2743898146495495,,2.8198398407998998e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.002241010858862,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4407621525932219,0.0163422140392556,0.0,0.125,0.1264458325609999,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__a5d5e5618e,0.0321969549667634,0.0282111444831145,0.25,0.846068187557659,0.002,ql,50,100,0.9,0.2394298243831458,0.3,0.42,0.08,300,0.4468972363030529,20,0.7622256092798507,,2.630292848140115e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0245149873277564,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.025431406288606684,0.016988888769848942,0.0,0.48783579463030124,0.5302560896887569
72,500,0.4141732910508815,0.5,-0.0496608082890582,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__imprint__s4__e8e098207f,0.0055992263246255,-0.001944082598595,0.25,False,0.8231611772332025,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2501759786254795,0.3,0,0.42,0.08,300,0.4486662089087339,0.2,20,0.2681383385124624,,2.3335924064185774e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0027835562774394,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4543869170484883,0.0140580239094648,0.0,0.125,0.1268627483017307,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__imprint__s4__f9d2576d41,-0.0085984970143169,-0.0081685488414661,0.25,0.8488120909569007,0.002,ql,50,100,0.9,0.2416697028580655,0.3,0.42,0.08,300,0.4473153609135253,20,0.8520163577375038,,2.1731109780659025e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0137165903878667,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.040213625997606806,0.02565091372369821,0.0,0.5838780192250415,0.6497425589463465
72,500,0.4178132870901153,0.5,-0.0430673356326758,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__imprint__s1__325bdca1f7,0.0116181227667768,0.0042280986297591,0.25,False,0.8342144784675602,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2425060925290927,0.3,0,0.42,0.08,300,0.445817874123194,0.2,20,0.3211257202536236,,2.6235011419363413e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0024579452591978,0,0,40,0.9907621742112482,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4639423619181385,0.0033696078891823,0.0,0.125,0.1259546217733907,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__imprint__s1__d9f08cd568,0.0202855835269629,0.0250864509736003,0.25,0.8525571616663236,0.002,ql,50,100,0.9,0.2413805316898759,0.3,0.42,0.08,300,0.4449754934734027,20,0.8875026108925645,,2.766908359493932e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0082531320707544,0,40,0.991105109739369,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0461290748280232,0.01834268319876331,0.0,0.5663768906389409,0.6308486486657274
72,500,0.4141732544488274,0.5,-0.0496610252443539,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s4__74cfed7eb3,0.0055980802081851,-0.0019440205979996,0.25,False,0.823161122003685,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2501760086573995,0.3,0,0.42,0.08,300,0.4486621336335967,0.2,20,0.2681383385124624,,2.60363422424347e-18,0.2,fixed,primary,0.0227098407328737,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0027837140183043,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4543593604837019,0.0140670930047924,0.0,0.125,0.1268662650428082,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__lesion__s4__29644f9c0b,-0.0085605999420897,-0.008146567675242,0.25,0.8488136406809318,0.002,ql,50,100,0.9,0.2416581656674211,0.3,0.42,0.08,300,0.4473162503128353,20,0.8520696323983368,,2.1670299508246453e-18,0.2,primary,0.0733269917948809,False,50,260,400,-1,1.0,100,0.0136969601399389,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.04018610603487449,0.025652518677246827,0.050617151062007204,0.5839312938858744,0.700387069660003
72,500,0.4277319347018966,0.5,-0.0182910508615587,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__98ca84bf88,-0.0148250184769143,-0.0199379216096476,0.25,False,0.84017883290908,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2405272522895685,0.3,0,0.42,0.08,300,0.4453336079163542,0.2,20,0.5123474276978823,,2.754176883643659e-18,0.2,plastic,primary,-0.0906469938169409,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0042447459563705,0,0,40,0.9908050411522634,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4772354927962531,-0.0284177509355244,0.0,0.125,0.1240441106062859,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s1__2445a50f0d,0.0023822445867744,0.0103062246273443,0.25,0.8517371287729529,0.002,ql,50,100,0.9,0.2455079078203777,0.3,0.42,0.08,300,0.4445113182922952,20,0.8598007008155152,,2.4483263328388208e-18,0.2,primary,0.0625864982840421,False,50,260,400,-1,1.0,100,0.0022956392903066,0,40,0.9911158264746228,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.049503558094356526,0.011558295863872914,0.153233492100983,0.34745327311763285,0.5617486191768453
72,500,0.4077282788897561,0.5,0.0328194007397321,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s2__89a10f3efb,0.0165421219459269,0.0272352331181798,0.25,False,0.807473714464671,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2406759124559117,0.3,0,0.42,0.08,300,0.3958029122634252,0.2,20,0.5366519433308538,0.0106931111722528,2.455101235173208e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0061461498470978,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4551049685683835,0.0100567859846124,0.0,0.125,0.1439543460868292,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__order_ab__s2__5035fae32d,0.0223457194204189,0.0304636695959719,0.25,0.8489718993805127,0.002,ql,50,100,0.9,0.2414826360561066,0.3,0.42,0.08,300,0.4217035778105613,20,0.8428565076264734,0.0081179501755529,2.1648450390566107e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0109185991008633,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.047376689678627404,0.041498184915841674,0.0,0.3062045642956196,0.3950794388900887
72,500,0.4455351271553345,0.5,0.1160513869016911,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__order_ab__s4__a2104517bf,0.0051629914007692,0.0153377033376032,0.25,False,0.8175733580074859,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2337470468245805,0.3,0,0.42,0.08,300,0.3842920678186459,0.2,20,1.0156605823218168,0.010174711936834,2.6832262256536012e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0248841958254495,0,0,40,0.986775548696845,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4199986387704501,-0.0280863104448645,0.0,0.125,0.1485265585307047,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__order_ab__s4__43b214be46,0.0229550837485569,0.0253637109448743,0.25,0.8349327070648567,0.002,ql,50,100,0.9,0.2420930830320714,0.3,0.42,0.08,300,0.4216288107596929,20,0.4314754089746301,0.0024086271963174,2.2692362542043793e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0031420782498098,0,40,0.9864326131687244,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.025536488384884426,0.0173593490573708,0.0,0.5841851733471867,0.6270810107894419
72,500,0.43843666442457,0.5,0.1209082371736721,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ba__s4__32b880cc81,-0.0054043784569231,0.0175928164565949,0.25,False,0.8136359759409073,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2345984229339196,0.3,0,0.42,0.08,300,0.3899133319193079,0.2,20,1.0092876259592207,0.0229971949135181,2.702500519158716e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0218629281459529,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.42192908907658,-0.0196284039336839,0.0,0.125,0.1477326476455597,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__order_ba__s4__e536cd989e,-0.0086746695509448,-0.0047305810451857,0.25,0.8314305107928494,0.002,ql,50,100,0.9,0.2458619725325121,0.3,0.42,0.08,300,0.4229166942968846,20,0.4929885866278757,0.003944088505759,2.5086555420827812e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0046183908477765,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.016507575347990022,0.017794534851942045,0.0,0.516299039331345,0.550601149531277
72,500,0.4124817038527311,0.5,0.1346800196219642,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__order_ba__s1__1c3f68ec6e,0.0260815794783637,0.0348999175067606,0.25,False,0.7999426970982372,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2274292283633075,0.3,0,0.42,0.08,300,0.3830336163418024,0.2,20,0.8467911930159655,0.0088183380283968,2.6289268336354934e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0249766988578772,0,0,40,0.9874507030178328,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4263906083405819,-0.01459599383685,0.0,0.125,0.1492395730524997,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__order_ba__s1__9dfd0c74ad,0.0487991185764882,0.0420546677060491,0.25,0.8418662984666764,0.002,ql,50,100,0.9,0.2391776778103423,0.3,0.42,0.08,300,0.4198128315133109,20,0.5296210779272376,-0.0067444508704391,2.291262837489964e-18,0.2,primary,,False,50,260,400,-1,1.0,100,0.0043171086146856,0,40,0.9879865397805212,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.013908904487850815,0.0419236013684392,0.0,0.31717011508872794,0.37300262094501796
