L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,selection_role,selection_score
52,260,0.4361084002652144,0.5,0.1409930804313929,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__da98574930,0.0321209388469963,0.0421104918523168,0.25,False,0.8708399806789077,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.181938987836617,0.3,0,0.42,0.08,160,0.3449586223817073,0.3,20,0.7809486315056969,4.498021977754336e-18,0.2,plastic,sensitivity,0.0007124448307119,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0290739028450397,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7664116800831771
52,260,0.4361084002652144,0.5,0.1409930804313929,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__da98574930,0.0321209388469963,0.0421104918523168,0.25,False,0.8708399806789077,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.181938987836617,0.3,0,0.42,0.08,160,0.3449586223817073,0.3,20,0.7809486315056969,4.498021977754336e-18,0.2,plastic,sensitivity,0.0007124448307119,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0290739028450397,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0007124448307119
52,260,0.43298270068958,0.5,0.1546179364058566,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__8626e4cb20,0.033249243820142,0.0405693212215704,0.25,False,0.8638057067693067,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1835423274558052,0.3,0,0.42,0.08,160,0.3413797272957817,0.3,20,0.7971487023822738,3.7591130606822054e-18,0.2,plastic,sensitivity,0.0070130007116525,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0308791747007752,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.4142135623730898
52,260,0.43298270068958,0.5,0.1546179364058566,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__8626e4cb20,0.033249243820142,0.0405693212215704,0.25,False,0.8638057067693067,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1835423274558052,0.3,0,0.42,0.08,160,0.3413797272957817,0.3,20,0.7971487023822738,3.7591130606822054e-18,0.2,plastic,sensitivity,0.0070130007116525,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0308791747007752,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7817091150318861
52,260,0.43298270068958,0.5,0.1546179364058566,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__8626e4cb20,0.033249243820142,0.0405693212215704,0.25,False,0.8638057067693067,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1835423274558052,0.3,0,0.42,0.08,160,0.3413797272957817,0.3,20,0.7971487023822738,3.7591130606822054e-18,0.2,plastic,sensitivity,0.0070130007116525,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0308791747007752,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0070130007116525
52,260,0.408070997963497,0.5,0.1469211190977661,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__9393aa980b,0.0383420144652548,0.0170447163787731,0.25,False,0.84916063924895,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1790829622799982,0.3,0,0.42,0.08,160,0.3360944794662812,0.3,20,0.5825254238112271,3.786397786239736e-18,0.2,plastic,sensitivity,-0.0278933081270931,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0234715030111439,0,0,40,0.9994452662721892,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.414213562373091
52,260,0.4088598451065937,0.5,0.155341589406744,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__ea38a8fc69,0.020436860574184,0.0207343757653292,0.25,False,0.8436514087309295,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1811210614508044,0.3,0,0.42,0.08,160,0.3342126971500405,0.3,20,0.6421655655051745,3.817194643596129e-18,0.2,plastic,sensitivity,-0.0394356661760903,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0238754771144433,0,0,40,0.9995890861275476,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.6302278269479528
52,260,0.408070997963497,0.5,0.1469211190977661,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__9393aa980b,0.0383420144652548,0.0170447163787731,0.25,False,0.84916063924895,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1790829622799982,0.3,0,0.42,0.08,160,0.3360944794662812,0.3,20,0.5825254238112271,3.786397786239736e-18,0.2,plastic,sensitivity,-0.0278933081270931,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0234715030111439,0,0,40,0.9994452662721892,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,-0.0278933081270931
52,260,0.4140188950042753,0.5,0.1259882150470352,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__91fd76a8ca,0.0141566985814735,0.0173658395153025,0.25,False,0.8550560731711366,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1829983469143795,0.3,0,0.42,0.08,160,0.3428023841941062,0.4,20,0.5732228430245376,3.9727650305952256e-18,0.2,plastic,sensitivity,-0.0325997928897868,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0185086830516512,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.4142135623730898
52,260,0.432817807755774,0.5,0.1608826613980476,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__534917c366,0.034680907249846,0.0434183940196027,0.25,False,0.8627099966404672,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1831842313448038,0.3,0,0.42,0.08,160,0.3416706057663736,0.4,20,0.795088990772694,4.129480940987326e-18,0.2,plastic,sensitivity,-0.0003197764290574,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0323294990076854,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7789242412688513
