L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,order_bias,selection_role,selection_score
52,280,0.4651389164346744,0.5,-0.0249503481386374,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__ab151ee724,0.0030851601865171,0.0304796358008342,0.25,True,0.8406788299268584,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2478059044970154,0.3,0,0.42,0.08,180,0.379834020801113,0.3,20,0.7063731860154091,3.384984163346547e-18,0.2,fixed,ablation,-0.0275297331942258,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.005285554458597,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.7037304087861106
52,280,0.4297914310777536,0.5,-0.0385256725685425,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__88fe29b380,-0.0117044142892233,-0.0094005140189474,0.25,True,0.8264637896693161,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2476139701199081,0.3,0,0.42,0.08,180,0.382684922621719,0.3,20,0.4006816650434009,3.2824166148938357e-18,0.2,fixed,ablation,-0.0051779515797098,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0038565873013586,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,-0.0051779515797098
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__d884b2efe0,0.0300511838636272,0.0141805664098408,0.25,False,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.4142135623730934
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__d884b2efe0,0.0300511838636272,0.0141805664098408,0.25,False,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.6036966914258699
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__d884b2efe0,0.0300511838636272,0.0141805664098408,0.25,False,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,-0.0057647623505584
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__4a272aa62b,0.0300511838636272,0.0141805664098408,0.25,True,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.4142135623730934
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__4a272aa62b,0.0300511838636272,0.0141805664098408,0.25,True,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.6036966914258699
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__4a272aa62b,0.0300511838636272,0.0141805664098408,0.25,True,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,-0.0057647623505584
52,280,0.4250515808141129,0.5,-0.0153457074379959,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__e6454b1cd8,-0.009565938605253,-0.0079991279973942,0.25,False,0.8244349289212396,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2421384226379043,0.3,0,0.42,0.08,180,0.3725723701843337,0.3,20,0.4572006532324006,4.0316245979566355e-18,0.2,plastic,ablation,-0.0506790524447911,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0036228741445451,0,0,40,0.999301446416831,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.414213562373094
52,280,0.4250515808141129,0.5,-0.0153457074379959,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__e6454b1cd8,-0.009565938605253,-0.0079991279973942,0.25,False,0.8244349289212396,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2421384226379043,0.3,0,0.42,0.08,180,0.3725723701843337,0.3,20,0.4572006532324006,4.0316245979566355e-18,0.2,plastic,ablation,-0.0506790524447911,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0036228741445451,0,0,40,0.999301446416831,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.45538921616012806
