geometry,formalism,schedule,task,plasticity,intrinsic_enabled,structural_enabled,gamma,memory_strength,eta_weight,alpha_async,sigma_birth,sigma_survive,diagonal_ablation,activity_late__mean,activity_late__std,activity_late__median,activity_late__count,entropy_late__mean,entropy_late__std,entropy_late__median,entropy_late__count,repair_reference_corr__mean,repair_reference_corr__std,repair_reference_corr__median,repair_reference_corr__count,corr_A_late__mean,corr_A_late__std,corr_A_late__median,corr_A_late__count,corr_B_late__mean,corr_B_late__std,corr_B_late__median,corr_B_late__count,neighbor_pattern_entropy_late__mean,neighbor_pattern_entropy_late__std,neighbor_pattern_entropy_late__median,neighbor_pattern_entropy_late__count,spectral_peak_fraction_late__mean,spectral_peak_fraction_late__std,spectral_peak_fraction_late__median,spectral_peak_fraction_late__count,coherence_late__mean,coherence_late__std,coherence_late__median,coherence_late__count,structural_link_fraction_late__mean,structural_link_fraction_late__std,structural_link_fraction_late__median,structural_link_fraction_late__count,structural_additions_total__mean,structural_additions_total__std,structural_additions_total__median,structural_additions_total__count,structural_removals_total__mean,structural_removals_total__std,structural_removals_total__median,structural_removals_total__count
extended_hex_r2,markov,alpha_async,lesion,fixed,0,0,0.68,0.0,0.016,0.5,0.6,0.6,False,0.4511103569321711,0.02262914592796967,0.4511103569321711,2,0.8406290983138129,0.006386400062892983,0.8406290983138129,2,-0.0208834513554013,0.019472732172936002,-0.0208834513554013,2,-0.010354768694919799,0.009975479357236992,-0.010354768694919799,2,0.0010896882987153494,0.03127358305941227,0.0010896882987153494,2,0.5769987797260554,0.18021427672072818,0.5769987797260554,2,0.0046102438537908,0.00025672275159472545,0.0046102438537908,2,0.0,0.0,0.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,fixed,0,0,0.68,0.0,0.016,0.5,0.6,0.6,True,0.4511103569321711,0.02262914592796967,0.4511103569321711,2,0.8406290983138129,0.006386400062892983,0.8406290983138129,2,-0.0208834513554013,0.019472732172936002,-0.0208834513554013,2,-0.010354768694919799,0.009975479357236992,-0.010354768694919799,2,0.0010896882987153494,0.03127358305941227,0.0010896882987153494,2,0.5769987797260554,0.18021427672072818,0.5769987797260554,2,0.0046102438537908,0.00025672275159472545,0.0046102438537908,2,0.0,0.0,0.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,fixed,0,0,0.68,0.3,0.016,0.5,0.6,0.6,False,0.447465173756214,0.024994446593770935,0.447465173756214,2,0.8335713097980872,0.010051551360947911,0.8335713097980872,2,-0.0163538423869678,0.01580509635122506,-0.0163538423869678,2,-0.0043096270513531,0.010457808402659514,-0.0043096270513531,2,0.010539560890943399,0.02819952437230304,0.010539560890943399,2,0.553527425529405,0.21615654743053667,0.553527425529405,2,0.0045710708799778,0.0010104323669761367,0.0045710708799778,2,0.0,0.0,0.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,fixed,0,0,0.68,0.3,0.016,0.5,0.6,0.6,True,0.447465173756214,0.024994446593770935,0.447465173756214,2,0.8335713097980872,0.010051551360947911,0.8335713097980872,2,-0.0163538423869678,0.01580509635122506,-0.0163538423869678,2,-0.0043096270513531,0.010457808402659514,-0.0043096270513531,2,0.010539560890943399,0.02819952437230304,0.010539560890943399,2,0.553527425529405,0.21615654743053667,0.553527425529405,2,0.0045710708799778,0.0010104323669761367,0.0045710708799778,2,0.0,0.0,0.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,plastic,0,0,0.68,0.0,0.016,0.5,0.6,0.6,False,0.43385128857645594,0.007690911188697207,0.43385128857645594,2,0.8387553682499448,0.006791781140336314,0.8387553682499448,2,-0.0251952579342791,0.027478870378128344,-0.0251952579342791,2,0.00685594657332695,0.03280301915840477,0.00685594657332695,2,-0.00020739563579759944,0.020347651059851164,-0.00020739563579759944,2,0.5053509067974589,0.14353986118935752,0.5053509067974589,2,0.0051652390266585,0.0016110864468712475,0.0051652390266585,2,0.0,0.0,0.0,2,0.999465811965812,2.9055998569542327e-05,0.999465811965812,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,plastic,0,0,0.68,0.0,0.016,0.5,0.6,0.6,True,0.43385128857645594,0.007690911188697207,0.43385128857645594,2,0.8387553682499448,0.006791781140336314,0.8387553682499448,2,-0.0251952579342791,0.027478870378128344,-0.0251952579342791,2,0.00685594657332695,0.03280301915840477,0.00685594657332695,2,-0.00020739563579759944,0.020347651059851164,-0.00020739563579759944,2,0.5053509067974589,0.14353986118935752,0.5053509067974589,2,0.0051652390266585,0.0016110864468712475,0.0051652390266585,2,0.0,0.0,0.0,2,0.999465811965812,2.9055998569542327e-05,0.999465811965812,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,plastic,0,0,0.68,0.3,0.016,0.5,0.6,0.6,False,0.4255341194506371,0.0006824126841416221,0.4255341194506371,2,0.8254765454080129,0.001473068162386154,0.8254765454080129,2,-0.0153227241246628,0.05000139902604139,-0.0153227241246628,2,0.0071942596182673,0.023702499635763864,0.0071942596182673,2,-0.011283467164311299,0.004644756993287315,-0.011283467164311299,2,0.442668123610977,0.02055210048620599,0.442668123610977,2,0.0037108566852566,0.00012442610232624643,0.0037108566852566,2,0.0,0.0,0.0,2,0.9993322649572649,4.35839978540976e-05,0.9993322649572649,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,lesion,plastic,0,0,0.68,0.3,0.016,0.5,0.6,0.6,True,0.4255341194506371,0.0006824126841416221,0.4255341194506371,2,0.8254765454080129,0.001473068162386154,0.8254765454080129,2,-0.0153227241246628,0.05000139902604139,-0.0153227241246628,2,0.0071942596182673,0.023702499635763864,0.0071942596182673,2,-0.011283467164311299,0.004644756993287315,-0.011283467164311299,2,0.442668123610977,0.02055210048620599,0.442668123610977,2,0.0037108566852566,0.00012442610232624643,0.0037108566852566,2,0.0,0.0,0.0,2,0.9993322649572649,4.35839978540976e-05,0.9993322649572649,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,order_ab,fixed,0,0,0.68,0.0,0.016,0.5,0.6,0.6,False,0.25627860576170886,0.005006838104022301,0.25627860576170886,2,0.4767404321826014,0.0013403465624442744,0.4767404321826014,2,,,,0,0.20356571267614035,0.00020276766982895353,0.20356571267614035,2,0.19831036336453844,0.011538930584837362,0.19831036336453844,2,1.2376998393372745,0.02453274773921521,1.2376998393372745,2,0.10938508005958306,0.0012763110231178189,0.10938508005958306,2,0.0,0.0,0.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
extended_hex_r2,markov,alpha_async,order_ab,fixed,0,0,0.68,0.0,0.016,0.5,0.6,0.6,True,0.25627860576170886,0.005006838104022301,0.25627860576170886,2,0.4767404321826014,0.0013403465624442744,0.4767404321826014,2,,,,0,0.20356571267614035,0.00020276766982895353,0.20356571267614035,2,0.19831036336453844,0.011538930584837362,0.19831036336453844,2,1.2376998393372745,0.02453274773921521,1.2376998393372745,2,0.10938508005958306,0.0012763110231178189,0.10938508005958306,2,0.0,0.0,0.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2
