L_markov,T_markov,activity_late_markov,alpha_async,autocorr_late_markov,bias_mean_late_markov,block_fraction_markov,coherence_late_markov,config_id_markov,corr_A_late_markov,corr_B_late_markov,dephase_markov,diagonal_ablation,entropy_late_markov,eta_intrinsic_markov,eta_weight,formalism_markov,gamma,geometry,imprint_duration_markov,imprint_start_markov,imprint_strength_markov,interface_density_late_markov,intrinsic_bias_limit_markov,intrinsic_enabled,intrinsic_target_activity_markov,lesion_fraction_markov,lesion_time_markov,memory_mean_late_markov,memory_strength,metric_stride_markov,neighbor_pattern_entropy_late_markov,orientation_anisotropy_late_markov,p0_markov,plasticity,profile_markov,repair_reference_corr_markov,save_dense_markov,schedule,second_imprint_duration_markov,second_imprint_start_markov,second_lesion_time_markov,seed,sensitivity_point_markov,sequential_events_per_sweep_markov,sigma_birth,sigma_survive,snapshot_every_markov,spectral_peak_fraction_late_markov,structural_additions_total_markov,structural_enabled,structural_interval_markov,structural_link_fraction_late_markov,structural_min_degree_markov,structural_removals_total_markov,structural_rewire_probability_markov,structural_swap_tolerance_markov,structural_target_fraction_markov,structural_utility_tau_markov,task,tau_memory_markov,theta_input_markov,theta_memory_markov,theta_phase_markov,weight_decay_markov,weight_sum_markov,order_bias_markov,L_ql,T_ql,activity_late_ql,autocorr_late_ql,bias_mean_late_ql,block_fraction_ql,coherence_late_ql,config_id_ql,corr_A_late_ql,corr_B_late_ql,dephase_ql,entropy_late_ql,eta_intrinsic_ql,formalism_ql,imprint_duration_ql,imprint_start_ql,imprint_strength_ql,interface_density_late_ql,intrinsic_bias_limit_ql,intrinsic_target_activity_ql,lesion_fraction_ql,lesion_time_ql,memory_mean_late_ql,metric_stride_ql,neighbor_pattern_entropy_late_ql,orientation_anisotropy_late_ql,p0_ql,profile_ql,repair_reference_corr_ql,save_dense_ql,second_imprint_duration_ql,second_imprint_start_ql,second_lesion_time_ql,sensitivity_point_ql,sequential_events_per_sweep_ql,snapshot_every_ql,spectral_peak_fraction_late_ql,structural_additions_total_ql,structural_interval_ql,structural_link_fraction_late_ql,structural_min_degree_ql,structural_removals_total_ql,structural_rewire_probability_ql,structural_swap_tolerance_ql,structural_target_fraction_ql,structural_utility_tau_ql,tau_memory_ql,theta_input_ql,theta_memory_ql,theta_phase_ql,weight_decay_ql,weight_sum_ql,order_bias_ql,d_activity_late,d_entropy_late,d_repair_reference_corr,d_neighbor_pattern_entropy_late,divergence_score
52,280,0.4351091343940438,0.5,-0.0377334633617701,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__2a813be7fe,-0.0174084977940085,-0.0210240743545958,0.25,False,0.836113231521971,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2442993769974866,0.3,0,0.42,0.08,180,0.3891369049522261,0.0,20,0.4495680425901995,3.292477226764537e-18,0.2,fixed,ablation,-0.0071141503876888,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0047917742523283,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4305855268320579,-0.045846364506673,0.0,0.125,0.1545247130150795,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__lesion__s1__790af163f2,-0.0116964450078856,-0.0113893060562648,0.25,0.8324714079298322,0.002,ql,40,90,0.9,0.2449433733421623,0.3,0.42,0.08,180,0.4158139979322174,20,0.3755243177563488,4.057128325961891e-18,0.2,ablation,-0.0035116037355631,False,40,170,230,-1,1.0,80,0.0041654822419141,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.004523607561985887,0.0036418235921388264,0.0036025466521257,0.07404372483385069,0.0858117026401011
52,280,0.4671115794702984,0.5,-0.0328410765002136,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__8897672dcf,-0.0033010395958311,0.0232034509520265,0.25,True,0.8451449651056547,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2464806801524185,0.3,0,0.42,0.08,180,0.3850544503950217,0.0,20,0.7044295168619112,3.516693730071176e-18,0.2,fixed,ablation,-0.0346527523231138,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0044287134552533,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4671115794702984,-0.0328410765002135,0.0,0.125,0.0,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__lesion__s2__ab88110bcd,-0.0033010395958311,0.0232034509520265,0.25,0.8451449651056545,0.002,ql,40,90,0.9,0.2464806801524185,0.3,0.42,0.08,180,0.3850544503950217,20,0.7044295168619112,2.76316788055009e-18,0.2,ablation,-0.0346527523231138,False,40,170,230,-1,1.0,80,0.0044287134552533,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
52,280,0.4297914310777536,0.5,-0.0385256725685425,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__65c47d0bc1,-0.0117044142892233,-0.0094005140189474,0.25,False,0.8264637896693161,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2476139701199081,0.3,0,0.42,0.08,180,0.382684922621719,0.3,20,0.4006816650434009,3.2824166148938357e-18,0.2,fixed,ablation,-0.0051779515797098,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0038565873013586,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4403131212623528,0.0238280041842222,0.0,0.125,0.1542245836894419,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__lesion__s1__6465fa86b1,0.0143442283964099,0.0131505620365586,0.25,0.8459278915305859,0.002,ql,40,90,0.9,0.2378200103679633,0.3,0.42,0.08,180,0.411941334916456,20,0.7756415131067659,3.761638766419027e-18,0.2,ablation,0.0676785027796467,False,40,170,230,-1,1.0,80,0.0246704386408405,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.010521690184599197,0.01946410186126979,0.07285645435935649,0.37495984806336496,0.47780209446859045
52,280,0.4651389164346744,0.5,-0.0249503481386374,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__ab151ee724,0.0030851601865171,0.0304796358008342,0.25,True,0.8406788299268584,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2478059044970154,0.3,0,0.42,0.08,180,0.379834020801113,0.3,20,0.7063731860154091,3.384984163346547e-18,0.2,fixed,ablation,-0.0275297331942258,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.005285554458597,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4651389164346742,-0.0249503481386374,0.0,0.125,0.0,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__lesion__s2__22d97da15e,0.0030851601865171,0.0304796358008342,0.25,0.8406788299268584,0.002,ql,40,90,0.9,0.2478059044970154,0.3,0.42,0.08,180,0.379834020801113,20,0.7063731860154091,3.834293262354518e-18,0.2,ablation,-0.0275297331942257,False,40,170,230,-1,1.0,80,0.0052855544585971,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,2.220446049250313e-16,0.0,1.0061396160665481e-16,0.0,3.226585665316861e-16
52,280,0.4284129931214246,0.5,-0.0361826024839167,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__1c4c748eef,-0.0163392907169733,-0.014595357681436,0.25,False,0.8339528537492781,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2415052219783968,0.3,0,0.42,0.08,180,0.3810572319866737,0.0,20,0.4038528975798885,3.7734681113452865e-18,0.2,plastic,ablation,-0.0446257535179998,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0040260288749981,0,0,40,0.9994452662721892,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4396388344171839,0.0226269754815714,0.0,0.125,0.1522388949420622,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s1__21d9ed093c,0.0086098118376044,0.0152749940829932,0.25,0.850337142704937,0.002,ql,40,90,0.9,0.234335429673596,0.3,0.42,0.08,180,0.4114153296317634,20,0.7476501994849084,3.883584403986409e-18,0.2,ablation,0.0153093092324186,False,40,170,230,-1,1.0,80,0.0208451665503131,0,40,0.9993836291913216,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.011225841295759265,0.01638428895565891,0.0599350627504184,0.3437973019050199,0.4313424949068565
52,280,0.4392895840314872,0.5,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__4a272aa62b,0.0300511838636272,0.0141805664098408,0.25,True,0.8435578827506115,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.238975420956327,0.3,0,0.42,0.08,180,0.3811407374775657,0.0,20,0.6068489160150293,3.476655576727483e-18,0.2,plastic,ablation,-0.0057647623505584,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0063044491783189,0,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4392895840314872,-0.0127078323349841,0.0,0.125,0.0,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__ae34f3a00c,0.0300511838636271,0.0141805664098406,0.25,0.8435578827506118,0.002,ql,40,90,0.9,0.238975420956327,0.3,0.42,0.08,180,0.3811407374775657,20,0.6068489160150293,3.420754187883336e-18,0.2,ablation,-0.0057647623505584,False,40,170,230,-1,1.0,80,0.0063044491783189,0,40,0.9994863576594346,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.0,3.3306690738754696e-16,0.0,0.0,3.3306690738754696e-16
52,280,0.4260166580871614,0.5,-0.0242643998360086,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__f0b8461bba,0.0239544578417876,-0.0145678063312284,0.25,False,0.8265181618947861,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2436760429491282,0.3,0,0.42,0.08,180,0.3745513489111319,0.3,20,0.4281355939895534,2.9907335808031323e-18,0.2,plastic,ablation,0.0200336041954655,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0037988392259681,0,0,40,0.9993630834976988,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4442147712046797,0.0110617259971621,0.0,0.125,0.1535580245314953,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__9103212dc5,-0.013735582044795,-0.003737789577681,0.25,0.8549010926721508,0.002,ql,40,90,0.9,0.2339351382678748,0.3,0.42,0.08,180,0.4080614008809659,20,0.7502584045059951,3.560755712005415e-18,0.2,ablation,-0.0180138754682972,False,40,170,230,-1,1.0,80,0.0170095520905808,0,40,0.999301446416831,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.018198113117518344,0.028382930777364646,0.0380474796637627,0.3221228105164417,0.4067513340750874
52,280,0.4260166580871614,0.5,-0.0242643998360086,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__880f32d9d5,0.0239544578417876,-0.0145678063312284,0.25,True,0.8265181618947861,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2436760429491282,0.3,0,0.42,0.08,180,0.3745513489111319,0.3,20,0.4281355939895534,2.9907335808031323e-18,0.2,plastic,ablation,0.0200336041954655,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0037988392259681,0,0,40,0.9993630834976988,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,52,280,0.4260166580871613,-0.0242643998360086,0.0,0.125,0.0,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__34a96ee4aa,0.0239544578417876,-0.0145678063312284,0.25,0.826518161894786,0.002,ql,40,90,0.9,0.2436760429491282,0.3,0.42,0.08,180,0.3745513489111319,20,0.4281355939895534,3.259807570168092e-18,0.2,ablation,0.0200336041954654,False,40,170,230,-1,1.0,80,0.0037988392259681,0,40,0.9993630834976988,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,5.551115123125783e-17,1.1102230246251565e-16,1.0061396160665481e-16,0.0,2.671474153004283e-16
52,280,0.2598189749373662,0.5,0.553691106101204,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s2__811bc83711,0.2037090910704818,0.2064696194287178,0.25,False,0.475792664039157,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1571904420736577,0.3,0,0.42,0.08,180,0.1929316510316882,0.0,20,1.2203525670497364,8.046877231819684e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.1084825918802333,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,0.0027605283582359,52,280,0.3791478145100075,0.2569255490035502,0.0,0.125,0.2594223851340763,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__order_ab__s2__246dd0776a,0.0875984524994895,0.1117920641468573,0.25,0.7554673484500712,0.002,ql,40,90,0.9,0.2055178398541046,0.3,0.42,0.08,180,0.2951633090945174,20,1.0006481049088265,5.1046919393994136e-18,0.2,ablation,,False,40,170,230,-1,1.0,80,0.0534579218952039,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0241936116473677,0.11932883957264129,0.27967468441091425,0.0,0.21970446214090988,0.6187079861244654
52,280,0.2527382365860515,0.5,0.5529444245597249,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__b9fa4dfed0,0.2034223342817989,0.1901511073003591,0.25,True,0.4776882003260458,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1525825755601356,0.3,0,0.42,0.08,180,0.1930952635490348,0.0,20,1.2550471116248123,7.296899375534378e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1102875682389328,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.0132712269814398,52,280,0.2527382365860516,0.5529444245597251,0.0,0.125,0.0,extended_hex_r2__ql__fixed__intr0__struct0__alpha_async__order_ab__s1__2acc8e16be,0.203422334281799,0.1901511073003591,0.25,0.4776882003260458,0.002,ql,40,90,0.9,0.1525825755601356,0.3,0.42,0.08,180,0.1930952635490348,20,1.2550471116248123,7.167029815783274e-18,0.2,ablation,,False,40,170,230,-1,1.0,80,0.1102875682389329,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,-0.0132712269814398,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16
