L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
72,500,0.2990394291279468,0.5,0.1422346155110662,0.1679978115385373,0.125,0.0,square_vn__markov__plastic__intr1__struct0__alpha_async__lesion__s3__ac2fa97a29,0.0902325574774206,0.0823559219274395,0.25,False,0.5445214901392349,0.003,0.016,markov,0.68,square_vn,50,100,0.9,0.2744037823714508,0.3,1,0.42,0.08,280,0.2794582749477076,0.2,20,1.5127679634604678,2.248383464718764e-18,0.2,plastic,secondary,0.0282439582206824,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0355802532773471,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3855631157442239,0.5,-0.0627737926239095,0.0,0.125,0.2778805034103912,square_vn__ql__plastic__intr0__struct1__synchronous__lesion__s3__14013f4c01,-0.0014581429878901,0.0122572929618312,0.25,False,0.7519033772376427,0.003,0.016,ql,0.68,square_vn,50,100,0.9,0.2952561513072775,0.3,0,0.42,0.08,280,0.3889871246915022,0.2,20,1.3870794653239558,2.4042739733247663e-18,0.2,plastic,secondary,0.0191125193608325,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0019059503351261,26413,1,35,0.75,2,26413,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3836236423670383,0.5,-0.1798240087068769,0.1255481897596712,0.125,0.2910368493230423,square_vn__ql__plastic__intr1__struct1__block_async__lesion__s3__e408806f27,0.0101784850954627,0.0076830291959467,0.25,False,0.7252743548944391,0.003,0.016,ql,0.68,square_vn,50,100,0.9,0.3314221292489113,0.3,1,0.42,0.08,280,0.3853946100569723,0.2,20,1.3892819538670085,2.716026849408553e-18,0.2,plastic,secondary,0.0212772663260695,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0026611751296063,28374,1,35,0.75,2,28374,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3936541074329386,0.5,-0.3748773404521476,0.0950960191517515,0.125,0.0,square_moore__markov__plastic__intr1__struct0__alpha_async__lesion__s3__7bc26db308,0.0099941945075669,0.0093210254258168,0.25,False,0.5486054658699694,0.003,0.016,markov,0.68,square_moore,50,100,0.9,0.4788894327945472,0.3,1,0.42,0.08,280,0.386623832773237,0.2,20,1.550810388804528,3.757966778534738e-18,0.2,plastic,secondary,0.0166905163703279,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0326938258901707,0,0,35,0.9984567901234568,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4203298213290258,0.5,0.1513127963597723,0.0,0.125,0.2014257487533569,square_moore__ql__plastic__intr0__struct1__synchronous__lesion__s3__ef6e35829e,0.010035681293572,0.0272965240076171,0.25,False,0.822010555620713,0.003,0.016,ql,0.68,square_moore,50,100,0.9,0.2246463828511594,0.3,0,0.42,0.08,280,0.4190468441322068,0.2,20,1.1892670745338385,3.0002759873709527e-18,0.2,plastic,secondary,0.0329816696788378,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0034882390789222,35184,1,35,0.75,2,35184,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3501382792702522,0.5,-0.3647378308601893,0.0682385726599853,0.125,0.2723494791117075,square_moore__ql__plastic__intr1__struct1__block_async__lesion__s3__e562d4563b,0.0142152644786804,0.0063220137916432,0.25,False,0.5422443652755022,0.003,0.016,ql,0.68,square_moore,50,100,0.9,0.4592374055277455,0.3,1,0.42,0.08,280,0.3489815940997328,0.2,20,1.5101992466615362,2.5522298285259793e-18,0.2,plastic,secondary,0.0201075349746782,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0278881632728735,27073,1,35,0.75,2,27073,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.420877016342189,0.5,-0.324671511908136,0.0831757247304783,0.125,0.0,hex_cells__markov__plastic__intr1__struct0__alpha_async__lesion__s3__e7af67896f,0.0146696140791342,0.0086256835153684,0.25,False,0.6084558298129834,0.003,0.016,markov,0.68,hex_cells,50,100,0.9,0.4470989702642444,0.3,1,0.42,0.08,280,0.4123781975644306,0.2,20,1.3186790601531704,1.6454935385598661e-18,0.2,plastic,secondary,0.022141063196018,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0053227236319072,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4196780080653013,0.5,-0.0462802048048286,0.0,0.125,0.2115252455693792,hex_cells__ql__plastic__intr0__struct1__synchronous__lesion__s3__c653be60c8,0.0094206859368682,0.0122038285842392,0.25,False,0.7769002282677789,0.003,0.016,ql,0.68,hex_cells,50,100,0.9,0.2877545383612182,0.3,0,0.42,0.08,280,0.4232898667930672,0.2,20,1.1209005662059208,1.9248121240382322e-18,0.2,plastic,secondary,0.0358883455124804,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0017455530427547,34632,1,35,0.6666666666666666,2,34632,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4186634688116565,0.5,-0.2237711378509101,0.073596366887249,0.125,0.2451395784898556,hex_cells__ql__plastic__intr1__struct1__block_async__lesion__s3__7e7e3c32f3,0.0177930311599718,0.0044910987152131,0.25,False,0.6878997794900117,0.003,0.016,ql,0.68,hex_cells,50,100,0.9,0.3812838952995693,0.3,1,0.42,0.08,280,0.421168743272259,0.2,20,1.0764524222733942,2.1040741959427946e-18,0.2,plastic,secondary,0.0057659851777674,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0027221081495784,36216,1,35,0.6666666666666666,2,36216,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.2848029588435937,0.5,0.1998123866215977,0.1628321340375751,0.125,0.0,honeycomb__markov__plastic__intr1__struct0__alpha_async__lesion__s3__00582ba062,0.1225746413637026,0.0927480501719552,0.25,False,0.5120571567598604,0.003,0.016,markov,0.68,honeycomb,50,100,0.9,0.2622965750361138,0.3,1,0.42,0.08,280,0.2682486090802785,0.2,20,1.558819204876301,2.575817895287972e-18,0.2,plastic,secondary,0.0881546923540888,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.1018738453572879,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
