L_markov,T_markov,activity_late_markov,alpha_async,autocorr_late_markov,bias_mean_late_markov,block_fraction_markov,coherence_late_markov,config_id_markov,corr_A_late_markov,corr_B_late_markov,dephase_markov,diagonal_ablation,entropy_late_markov,eta_intrinsic_markov,eta_weight,formalism_markov,gamma,geometry,imprint_duration_markov,imprint_start_markov,imprint_strength_markov,interface_density_late_markov,intrinsic_bias_limit_markov,intrinsic_enabled,intrinsic_target_activity_markov,lesion_fraction_markov,lesion_time_markov,memory_mean_late_markov,memory_strength,metric_stride_markov,neighbor_pattern_entropy_late_markov,orientation_anisotropy_late_markov,p0_markov,plasticity,profile_markov,save_dense_markov,schedule,second_imprint_duration_markov,second_imprint_start_markov,second_lesion_time_markov,seed,sensitivity_point_markov,sequential_events_per_sweep_markov,sigma_birth,sigma_survive,snapshot_every_markov,spectral_peak_fraction_late_markov,structural_additions_total_markov,structural_enabled,structural_interval_markov,structural_link_fraction_late_markov,structural_min_degree_markov,structural_removals_total_markov,structural_rewire_probability_markov,structural_swap_tolerance_markov,structural_target_fraction_markov,structural_utility_tau_markov,task,tau_memory_markov,theta_input_markov,theta_memory_markov,theta_phase_markov,weight_decay_markov,weight_sum_markov,repair_reference_corr_markov,L_ql,T_ql,activity_late_ql,autocorr_late_ql,bias_mean_late_ql,block_fraction_ql,coherence_late_ql,config_id_ql,corr_A_late_ql,corr_B_late_ql,dephase_ql,entropy_late_ql,eta_intrinsic_ql,formalism_ql,imprint_duration_ql,imprint_start_ql,imprint_strength_ql,interface_density_late_ql,intrinsic_bias_limit_ql,intrinsic_target_activity_ql,lesion_fraction_ql,lesion_time_ql,memory_mean_late_ql,metric_stride_ql,neighbor_pattern_entropy_late_ql,orientation_anisotropy_late_ql,p0_ql,profile_ql,save_dense_ql,second_imprint_duration_ql,second_imprint_start_ql,second_lesion_time_ql,sensitivity_point_ql,sequential_events_per_sweep_ql,snapshot_every_ql,spectral_peak_fraction_late_ql,structural_additions_total_ql,structural_interval_ql,structural_link_fraction_late_ql,structural_min_degree_ql,structural_removals_total_ql,structural_rewire_probability_ql,structural_swap_tolerance_ql,structural_target_fraction_ql,structural_utility_tau_ql,tau_memory_ql,theta_input_ql,theta_memory_ql,theta_phase_ql,weight_decay_ql,weight_sum_ql,repair_reference_corr_ql,d_activity_late,d_entropy_late,d_repair_reference_corr,d_neighbor_pattern_entropy_late,divergence_score
56,320,0.4508995854287723,0.5,-0.2373145016644434,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__baseline__s2__42075d446b,0.0006816459399643,0.0007944948698398,0.25,False,0.6136725809062006,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.443498485128369,0.3,0,0.42,0.08,210,0.451325077051694,0.2,20,0.933293772103762,1.3663684394273293e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.3012711046408643,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,56,320,0.4517313973182519,-0.2376663483848662,0.0,0.125,0.2736825481637926,extended_hex_r2__ql__fixed__intr0__struct0__sequential__baseline__s2__3bbb92d1f2,0.005146544106877,-0.0034054597258602,0.25,0.5114549563743772,0.002,ql,40,100,0.9,0.4922815440061767,0.3,0.42,0.08,210,0.4519854736648048,20,0.9544713390958736,1.6169815123859193e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.4726776421250966,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.0008318118894796167,0.10221762453182337,0.0,0.021177566992111596,0.12422700341341458
56,320,0.4459028635701677,0.5,-0.2321208395610629,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__baseline__s2__5d456aecc7,0.0081840226520012,0.0148450672859938,0.25,False,0.987119307016868,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.0493626641726732,0.3,0,0.42,0.08,210,0.4459491681109684,0.2,20,0.0,0.0,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1405490666918609,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,56,320,0.4348445053419672,-0.1708038079683271,0.0,0.125,0.1470779334556746,extended_hex_r2__ql__plastic__intr0__struct0__sequential__baseline__s2__d4d828605d,-0.0207491852023469,-0.0319014216509182,0.25,0.9383516323605232,0.002,ql,40,100,0.9,0.1281011284810475,0.3,0.42,0.08,210,0.4355844822502457,20,0.0179709621119806,4.802716732437796e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.0429164964631764,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.011058358228200449,0.048767674656344795,0.0,0.0179709621119806,0.07779699499652584
56,320,0.4499565679062073,0.5,-0.2353057015856008,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__lesion__s2__1d56a74e29,-0.0027276394842296,-0.0036162087554842,0.25,False,0.6540541227020245,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.4193267682079893,0.3,0,0.42,0.08,210,0.4479006423167502,0.2,20,0.9124793485672784,1.6825995364150023e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1072191613209668,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.003210991935711,56,320,0.4501980533575971,-0.2350573667496054,0.0,0.125,0.251064018898288,extended_hex_r2__ql__fixed__intr0__struct0__sequential__lesion__s2__3109ace1a6,-0.0118044467341857,-0.0024036919623569,0.25,0.5745082611626305,0.002,ql,40,100,0.9,0.4595328793219115,0.3,0.42,0.08,210,0.4485720838931539,20,0.9296305511273304,1.5847103718405284e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.1307223237343449,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,-0.0135884026268101,0.00024148545138980015,0.07954586153939391,0.0167993945625211,0.01715120256005198,0.1137379441133568
56,320,0.4458968859280649,0.5,-0.2281583591805994,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__lesion__s1__7de403d095,0.005531525492747,0.0065685728197741,0.25,False,0.974306389730126,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.0880078964698744,0.3,0,0.42,0.08,210,0.4430342852546978,0.2,20,0.017014029845607,1.0550163066808976e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.1151245259984582,0,0,40,0.9991850907029478,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0063953974916733,56,320,0.4367392327797202,-0.1843219482220316,0.0,0.125,0.1480976184299916,extended_hex_r2__ql__plastic__intr0__struct0__sequential__lesion__s1__8810f529dc,-0.0375689154931876,-0.0037252450034306,0.25,0.9445095743453056,0.002,ql,40,100,0.9,0.1346325798799605,0.3,0.42,0.08,210,0.4359555845889268,20,0.016557995291422,3.4370513138871653e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.0643969792134032,0,40,0.9973249716553289,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,-0.0455073328895618,0.009157653148344713,0.029796815384820374,0.05190273038123509,0.00045603455418500097,0.09131323346858518
56,320,0.4550846952537393,0.5,-0.2874012960342016,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__baseline__s1__8ac681e022,0.0065353845750771,-0.0087964197747449,0.25,False,0.4054243656996801,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.518467479569939,0.3,0,0.42,0.08,210,0.4550629356646333,0.2,20,0.9801766639088444,7.228983375911331e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.1582247073947054,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,56,320,0.4519186295926218,-0.2843150935524286,0.0,0.125,0.2803513326857882,extended_moore_r2__ql__fixed__intr0__struct0__sequential__baseline__s1__d57b81b3bb,0.0171805352089084,-0.0076438455446304,0.25,0.4942096474217275,0.002,ql,40,100,0.9,0.4986287147519728,0.3,0.42,0.08,210,0.4518539796417221,20,0.9652471937665336,6.2404119897463165e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.1622620260609946,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.0031660656611174898,0.08878528172204742,0.0,0.01492947014231083,0.10688081752547574
56,320,0.3773282563044551,0.5,-0.181401928389771,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__baseline__s2__455cbfb03b,0.0355516067886207,0.035986616935047,0.25,False,0.8187202870723796,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.22624263525284,0.3,0,0.42,0.08,210,0.3824890005179704,0.2,20,0.255906091630059,5.301708584597748e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0555394296046429,0,0,40,0.9558487457482994,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,56,320,0.3390948694763795,-0.2050682677630067,0.0,0.125,0.2178582572288321,extended_moore_r2__ql__plastic__intr0__struct0__sequential__baseline__s2__1e954aed8d,-0.0229569669800938,0.0067392548895832,0.25,0.7272348822894784,0.002,ql,40,100,0.9,0.2752822721290225,0.3,0.42,0.08,210,0.3441921085975916,20,0.4721661064870474,4.718127961878055e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.0624036568674857,0,40,0.9197624362244898,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.03823338682807559,0.09148540478290124,0.0,0.21626001485698837,0.3459788064679652
56,320,0.4569619798159935,0.5,-0.2932676677784125,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__lesion__s1__b595fec032,0.0213282354129841,-0.0056474187622342,0.25,False,0.3694791715606606,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5223310842908998,0.3,0,0.42,0.08,210,0.4541160102497647,0.2,20,0.9852281360342516,8.881834718606135e-19,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.4903775140958391,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0213166235057323,56,320,0.4521448076429215,-0.2876373179382736,0.0,0.125,0.2790743538116484,extended_moore_r2__ql__fixed__intr0__struct0__sequential__lesion__s1__78401ee1c8,0.0300951897518034,-0.01159259426071,0.25,0.4806679611537374,0.002,ql,40,100,0.9,0.4994283865637239,0.3,0.42,0.08,210,0.450569713435424,20,0.9746379274566678,2.8355262725262732e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.3784684010194979,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0296585905757555,0.004817172173072037,0.11118878959307676,0.008341967070023201,0.01059020857758386,0.13493813741375588
56,320,0.4093454789156346,0.5,-0.1981908053214438,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__lesion__s1__3ae1b5bdb2,-0.0184046117716804,-0.0230615084437744,0.25,False,0.8873348922582113,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.1918379495177626,0.3,0,0.42,0.08,210,0.4095041778261643,0.2,20,0.1615675073540186,4.69771333226292e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0848595705168775,0,0,40,0.9766687925170068,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0249061994122643,56,320,0.3779652687078034,-0.2132643123159657,0.0,0.125,0.1886949372561126,extended_moore_r2__ql__plastic__intr0__struct0__sequential__lesion__s1__98c801ae98,0.0108396938293373,-0.0126876709356829,0.25,0.8058515542248799,0.002,ql,40,100,0.9,0.2516979769563245,0.3,0.42,0.08,210,0.3816881618623004,20,0.2374773001437525,4.962804002280538e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.0748682046808185,0,40,0.9594228316326532,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0141775367332315,0.031380210207831216,0.08148333803333141,0.039083736145495804,0.07590979278973392,0.22785707717639236
56,320,0.4659022588031019,0.5,-0.4247228446288673,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__sequential__baseline__s2__bf684aa436,0.0030694899267546,-0.0034827827094175,0.25,False,0.4869949661249818,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.556939336459895,0.3,0,0.42,0.08,210,0.4653076109176309,0.2,20,1.3062330554538863,1.898529102711753e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0442414298903975,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,56,320,0.461431054048179,-0.4072564427575562,0.0,0.125,0.2965290091547721,hex_cells__ql__fixed__intr0__struct0__sequential__baseline__s2__8b1a79d1bf,0.009428777215884,-0.0071968856202957,0.25,0.5460177847098504,0.002,ql,40,100,0.9,0.5331444360573766,0.3,0.42,0.08,210,0.461289894860761,20,1.231717205046872,1.6024561420197385e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.0385838129534518,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.004471204754922853,0.05902281858486863,0.0,0.07451585040701425,0.13800987374680573
56,320,0.4252270288784309,0.5,-0.3366230855282381,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__sequential__baseline__s2__d9d671e2b4,-0.0051880263676181,0.0134545684421306,0.25,False,0.584984462047887,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.4645921964176411,0.3,0,0.42,0.08,210,0.4258396166713843,0.2,20,1.3241242414469176,2.8049494158239046e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.01461162851311,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,56,320,0.4203159581463322,-0.3333490537247934,0.0,0.125,0.2786207385903571,hex_cells__ql__plastic__intr0__struct0__sequential__baseline__s2__57cd3a60e0,-0.0037133175245484,-0.0146945315519727,0.25,0.6222923192672659,0.002,ql,40,100,0.9,0.4458750219536484,0.3,0.42,0.08,210,0.4197252183580959,20,1.2635280027015223,3.133619458719364e-18,0.2,sequential_exact,False,40,180,280,-1,1.0,80,0.019563344252175,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,,0.004911070732098677,0.037307857219378904,0.0,0.060596238745395326,0.1028151666968729
