L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,repair_reference_corr,selection_role,selection_score
56,320,0.4511571380102073,0.5,-0.235212358027384,0.0,0.125,0.2726191821302585,extended_hex_r2__ql__fixed__intr0__struct0__sequential__baseline__s1__48f6102944,-0.0016563571031868,-0.0045303752271473,0.25,False,0.5213268955346667,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.4847422568384473,0.3,0,0.42,0.08,210,0.4512420156219943,0.2,20,0.9532421804273444,1.6300632354034256e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.2684866067517515,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,median,0.11108195734430637
56,320,0.4511571380102073,0.5,-0.235212358027384,0.0,0.125,0.2726191821302585,extended_hex_r2__ql__fixed__intr0__struct0__sequential__baseline__s1__48f6102944,-0.0016563571031868,-0.0045303752271473,0.25,False,0.5213268955346667,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.4847422568384473,0.3,0,0.42,0.08,210,0.4512420156219943,0.2,20,0.9532421804273444,1.6300632354034256e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.2684866067517515,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.8189988770514687
56,320,0.4434030402203935,0.5,-0.2191021287482585,0.0,0.125,0.1348296368186418,extended_hex_r2__ql__plastic__intr0__struct0__sequential__baseline__s1__3edaf426ab,-0.011774092384955,-0.0162127052834141,0.25,False,0.9810510475029844,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.0704213120819687,0.3,0,0.42,0.08,210,0.4434431124898457,0.2,20,0.0,1.494027985228382e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0860254102343814,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,median,0.015374753710634565
56,320,0.4348445053419672,0.5,-0.1708038079683271,0.0,0.125,0.1470779334556746,extended_hex_r2__ql__plastic__intr0__struct0__sequential__baseline__s2__d4d828605d,-0.0207491852023469,-0.0319014216509182,0.25,False,0.9383516323605232,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.1281011284810475,0.3,0,0.42,0.08,210,0.4355844822502457,0.2,20,0.0179709621119806,4.802716732437796e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0429164964631764,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,visual,-0.003487286119607602
56,320,0.4504877114340533,0.5,-0.2344403593359008,0.0,0.125,0.266441999999149,extended_hex_r2__ql__fixed__intr0__struct0__sequential__lesion__s3__732f3fd8db,0.0073812204438996,0.0031101083079784,0.25,False,0.5418138241717932,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.4762452102065126,0.3,0,0.42,0.08,210,0.4491590556051953,0.2,20,0.949666527245272,1.4636026231461001e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.1447337757985239,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0044218657300737,median,0.3891416976085643
56,320,0.4504877114340533,0.5,-0.2344403593359008,0.0,0.125,0.266441999999149,extended_hex_r2__ql__fixed__intr0__struct0__sequential__lesion__s3__732f3fd8db,0.0073812204438996,0.0031101083079784,0.25,False,0.5418138241717932,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.4762452102065126,0.3,0,0.42,0.08,210,0.4491590556051953,0.2,20,0.949666527245272,1.4636026231461001e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.1447337757985239,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0044218657300737,visual,0.8772996393460101
56,320,0.4504877114340533,0.5,-0.2344403593359008,0.0,0.125,0.266441999999149,extended_hex_r2__ql__fixed__intr0__struct0__sequential__lesion__s3__732f3fd8db,0.0073812204438996,0.0031101083079784,0.25,False,0.5418138241717932,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.4762452102065126,0.3,0,0.42,0.08,210,0.4491590556051953,0.2,20,0.949666527245272,1.4636026231461001e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.1447337757985239,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0044218657300737,high_repair,0.0044218657300737
56,320,0.4367392327797202,0.5,-0.1843219482220316,0.0,0.125,0.1480976184299916,extended_hex_r2__ql__plastic__intr0__struct0__sequential__lesion__s1__8810f529dc,-0.0375689154931876,-0.0037252450034306,0.25,False,0.9445095743453056,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.1346325798799605,0.3,0,0.42,0.08,210,0.4359555845889268,0.2,20,0.016557995291422,3.4370513138871653e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0643969792134032,0,0,40,0.9973249716553289,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0455073328895618,median,1.2130837805309334
56,320,0.4367392327797202,0.5,-0.1843219482220316,0.0,0.125,0.1480976184299916,extended_hex_r2__ql__plastic__intr0__struct0__sequential__lesion__s1__8810f529dc,-0.0375689154931876,-0.0037252450034306,0.25,False,0.9445095743453056,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.1346325798799605,0.3,0,0.42,0.08,210,0.4359555845889268,0.2,20,0.016557995291422,3.4370513138871653e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0643969792134032,0,0,40,0.9973249716553289,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0455073328895618,visual,-0.015640494315279602
56,320,0.4406414917361393,0.5,-0.2150346044713732,0.0,0.125,0.1406337435300371,extended_hex_r2__ql__plastic__intr0__struct0__sequential__lesion__s3__0415e589d9,-0.0044283597639688,0.0116778448199616,0.25,False,0.9691505542616558,0.002,0.016,ql,0.68,extended_hex_r2,40,100,0.9,0.1033682097118327,0.3,0,0.42,0.08,210,0.4394267742416355,0.2,20,0.0086518922148171,1.3910969563005569e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0576421723863311,0,0,40,0.9976084183673468,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0033179545998054,high_repair,0.0033179545998054
