L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
44,220,0.4027990864118845,0.5,-0.339842091053278,0.0,0.125,0.3176730180937671,square_moore__ql__plastic__intr0__struct0__alpha_async__lesion__s2__bd8957c335,0.0155552592889552,0.0072523225324991,0.25,False,0.5677663853596128,0.002,0.016,ql,0.62,square_moore,30,70,0.9,0.4624907368484366,0.3,0,0.42,0.08,140,0.3324461459808674,0.4,10,1.5176101725321427,5.782097697877877e-18,0.2,plastic,calibration,0.0020623113400627,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0855702109515502,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.427482234639,0.5,-0.3582618998259971,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__baseline__s2__e27ef7943b,0.0229290020617777,-0.0125710133136986,0.25,False,0.5947426008457924,0.002,0.016,markov,0.62,hex_cells,30,70,0.9,0.4664921102594905,0.3,0,0.42,0.08,140,0.4222025375415036,0.2,10,1.286919390640897,4.2394977503590584e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0165566494388041,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3233976049949041,0.5,0.0526968177498355,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__lesion__s2__20269c8709,0.0848084543683359,0.0720270283292916,0.25,False,0.4511331557422006,0.002,0.016,markov,0.58,hex_cells,30,70,0.9,0.3472705746744924,0.3,0,0.42,0.08,140,0.2509119365073669,0.3,10,1.5496418828847347,4.002194928175983e-18,0.2,plastic,calibration,0.0435454813268569,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0686543927203298,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.429614650345262,0.5,-0.3456974404317181,0.0,0.125,0.2728551150708459,hex_cells__ql__plastic__intr0__struct0__alpha_async__baseline__s1__291bbbead3,0.0056108345024878,0.0109375701389154,0.25,False,0.6181562031044375,0.002,0.016,ql,0.68,hex_cells,30,70,0.9,0.4546428155182078,0.3,0,0.42,0.08,140,0.4217069996030947,0.4,10,1.2744350040009205,5.016509328510074e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0152075573549401,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4310078684070755,0.5,-0.3732744657412271,0.0,0.125,0.2835725461007535,hex_cells__ql__plastic__intr0__struct0__alpha_async__lesion__s1__fdeec906c9,-0.0145671055817294,-0.0084564382797013,0.25,False,0.6020682851462414,0.002,0.016,ql,0.68,hex_cells,30,70,0.9,0.4763050648017867,0.3,0,0.42,0.08,140,0.3654749745930735,0.2,10,1.304832762464415,4.717789102200167e-18,0.2,plastic,calibration,-0.0102375453658917,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0260934900062886,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3997776128950507,0.5,-0.2210805073574102,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__alpha_async__baseline__s1__ed73869418,-0.0112978171356025,-0.0071874976300266,0.25,False,0.7290817018906877,0.002,0.016,markov,0.62,honeycomb,30,70,0.9,0.3426962359610166,0.3,0,0.42,0.08,140,0.3954526358914926,0.3,10,1.519247756622293,3.309716680008567e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0069640882276162,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.1164210474017352,0.5,0.5432615558461084,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__alpha_async__lesion__s1__c79362747f,0.3479726444873572,0.3053396894383122,0.25,False,0.2196303310054103,0.002,0.016,markov,0.58,honeycomb,30,70,0.9,0.0998592804346014,0.3,0,0.42,0.08,140,0.1175283979628006,0.4,10,0.9975058488189588,5.471285725774941e-18,0.2,plastic,calibration,0.3120581124320213,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.1393996677453743,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3970935175534783,0.5,-0.2436532408207364,0.0,0.125,0.2672581313289016,honeycomb__ql__plastic__intr0__struct0__alpha_async__baseline__s1__7dfdf6c76d,-0.0010130710783285,-0.0215079098489491,0.25,False,0.7476182971037102,0.002,0.016,ql,0.58,honeycomb,30,70,0.9,0.334118209731821,0.3,0,0.42,0.08,140,0.3951893384815371,0.2,10,1.447046115958198,5.1752560656399954e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0056317023805381,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3967369565264234,0.5,-0.1801928300986141,0.0,0.125,0.2788487498571868,honeycomb__ql__plastic__intr0__struct0__alpha_async__baseline__s2__78be9b939d,0.0077683816767595,0.0222118309173423,0.25,False,0.721460333922852,0.002,0.016,ql,0.68,honeycomb,30,70,0.9,0.3409490916318421,0.3,0,0.42,0.08,140,0.3895674903639182,0.3,10,1.4911598527996517,1.9362545051885906e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0057150773527196,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.2944752914566405,0.5,0.1813462534499082,0.0,0.125,0.3942182465177076,honeycomb__ql__plastic__intr0__struct0__alpha_async__lesion__s2__dd88fea039,0.1337699538329764,0.1034523515140561,0.25,False,0.6373330033474496,0.002,0.016,ql,0.62,honeycomb,30,70,0.9,0.2247205918436881,0.3,0,0.42,0.08,140,0.2551522539890474,0.4,10,1.5130619725726062,4.982943496135151e-18,0.2,plastic,calibration,0.1269164925731121,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.1047711944648811,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
