L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,order_bias,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
72,500,0.4510269724353494,0.5,-0.2860210942728272,0.0,0.125,0.2714042528958357,extended_moore_r2__ql__fixed__intr0__struct0__alpha_async__imprint__s2__70a6bca63a,0.0064311942919945,-0.0003135669529724,0.25,False,0.5033988621031715,0.002,0.016,ql,0.68,extended_moore_r2,50,100,0.9,0.4932220788001625,0.3,0,0.42,0.08,300,0.4488069325201266,0.2,20,0.9645010875997708,,6.7830652254247936e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.2804518770952302,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4377496836118512,0.5,0.013229276728517,0.0,0.125,0.1342737782405143,extended_moore_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__fa1b63d490,-0.0288777951817364,-0.0222998384948395,0.25,False,0.8306836973682653,0.002,0.016,ql,0.68,extended_moore_r2,50,100,0.9,0.2505410646625859,0.3,0,0.42,0.08,300,0.4376815417729308,0.2,20,0.8063406264147701,,2.8340651438441345e-18,0.2,plastic,primary,-0.0472787154403613,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0273880594167685,0,0,40,0.9787808641975309,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4077282788897561,0.5,0.0328194007397321,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s2__89a10f3efb,0.0165421219459269,0.0272352331181798,0.25,False,0.807473714464671,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2406759124559117,0.3,0,0.42,0.08,300,0.3958029122634252,0.2,20,0.5366519433308538,0.0106931111722528,2.455101235173208e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0061461498470978,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4129059288182232,0.5,0.1366678038087624,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__order_ba__s2__bbafe2a2a8,0.0549791691007424,0.0521049209041947,0.25,False,0.8040957205594761,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2261292933000705,0.3,0,0.42,0.08,300,0.3840993498825677,0.2,20,0.8703945151894017,-0.0028742481965477,2.9353415086723854e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0226202864635159,0,0,40,0.987204218106996,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4509169038871271,0.5,-0.2353017575963401,0.0,0.125,0.2704101792428846,extended_hex_r2__ql__fixed__intr0__struct0__block_async__baseline__s2__b18f7cb098,-0.0075976448702514,0.0013487234015439,0.25,False,0.5301463491748037,0.002,0.016,ql,0.68,extended_hex_r2,50,100,0.9,0.481647868363857,0.3,0,0.42,0.08,300,0.4509214188950277,0.2,20,0.9502922750937504,,1.1658317863081554e-18,0.2,fixed,primary,,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.1882877794544381,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4183752411879412,0.5,-0.1448506681593273,0.0,0.125,0.168363214621633,extended_hex_r2__ql__plastic__intr0__struct0__block_async__imprint__s2__d0d09467a5,0.0031104823941893,-0.0076956652901538,0.25,False,0.8900611334310524,0.002,0.016,ql,0.68,extended_hex_r2,50,100,0.9,0.1755584066187898,0.3,0,0.42,0.08,300,0.4178666625579156,0.2,20,0.1085052829173154,,2.948962766301441e-18,0.2,plastic,primary,,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.044798033717279,0,0,40,0.9853287894375856,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4850237296096221,0.5,-0.3258540693267572,0.0,0.125,0.0,honeycomb_nnn__markov__fixed__intr0__struct0__block_async__lesion__s2__ef83df49bc,-0.0018192232757751,-0.0023425193604133,0.25,False,0.1077422812505197,0.002,0.016,markov,0.68,honeycomb_nnn,50,100,0.9,0.641174015383845,0.3,0,0.42,0.08,300,0.4849904163870933,0.2,20,0.9996030028794493,,3.1650679438584026e-18,0.2,fixed,primary,-0.0018501567750557,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0625571639416872,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4239630522060011,0.5,-0.2962545537822588,0.0,0.125,0.0,honeycomb_nnn__markov__plastic__intr0__struct0__block_async__order_ab__s2__3be3246990,0.0007315643206931,-0.0087355151556722,0.25,False,0.5302727901932842,0.002,0.016,markov,0.68,honeycomb_nnn,50,100,0.9,0.4824373870285143,0.3,0,0.42,0.08,300,0.4190979666726376,0.2,20,1.0724871511510743,-0.0094670794763653,3.010899106848804e-18,0.2,plastic,primary,,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0320800634458666,0,0,40,0.9991212277091908,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4866395815433909,0.5,-0.3240728640206568,0.0,0.125,0.3369968620155997,honeycomb_nnn__ql__fixed__intr0__struct0__block_async__order_ba__s2__5b5e4bb153,-0.0021222025609515,0.0021342469454903,0.25,False,0.2400493701529429,0.002,0.016,ql,0.68,honeycomb_nnn,50,100,0.9,0.607899645363405,0.3,0,0.42,0.08,300,0.4853143051655782,0.2,20,0.9993731381802324,0.0042564495064419,2.535634280888963e-18,0.2,fixed,primary,,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.026095622945691,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.0927167812443881,0.5,0.6041487471970403,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__synchronous__order_ba__s3__41ffe4f6d4,0.3579212969712137,0.3357644330136777,0.25,False,0.1786854208628804,0.002,0.016,markov,0.68,square_vn,50,100,0.9,0.0733621316744209,0.3,0,0.42,0.08,300,0.0954353990651383,0.2,20,0.8551649760265345,-0.0221568639575359,5.046330328474946e-18,0.2,fixed,primary,,False,synchronous,50,260,400,3,-1,1.0,0.6,0.6,100,0.0886106355579177,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4035820219634753,0.5,-0.2278464289947829,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__alpha_async__baseline__s3__df2b6f4573,0.0015011113393296,-0.0060233556679025,0.25,False,0.7251173215264595,0.002,0.016,markov,0.68,square_vn,50,100,0.9,0.3522513158933432,0.3,0,0.42,0.08,300,0.4037823581977644,0.2,20,1.463883238477312,,2.294808580922808e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0024606564305326,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
